Paper_ID,Initials (of screener),Include/Exclude,Inconclusive Note,Exclusion T0: CalCOFI Report,Exclusion T1: Not a target marine species,Exclusion T2: Outdated (older than 1900),Exclusion T3: Not a poleward movement,Exclusion T3: Not in California (at least partially),Latin name,Species reference,Common name,Taxanomic rank,Life stage (verbatim),Planktonic Larval Duration (PLD),Spawn Season,Observation location (verbatim),Latitude (verbatim),Longitude (verbatim),lat_for_plot,Lat for plot origin,lon_for_plot,Lon for plot origin,Year,Month,Day,Time,Historical northern range edge (verbatim),Historical northern range edge reference (if not the paper),Screening Notes
53,EJW,Inconclusive,see screening note,,,,,,Neanthes micromma,Harper 1979,,Species,,,,"Gulf of Nicoya, subtidal: STA 2; 9º55'28"" N, 84º52'05"" W, 18 m, muddy sand, Jan. 1980 (1); STA 4; 9º53'40"" N, 84º46'10"" W, 40 m, mud, Jul. 1980 (1); STA 24; 9º49'25"" N, 84º41'20"" W, 11 m, sand, Oct. 1980 (12), Jan. 1981 (2), Apr. 1981 (2), Jun. 1981 (2), Aug. 1981 (3), Dec. 1993 (3); STA 27; 9º51'57"" N, 84º50'50"" W, 12 m, muddy sand, Jul. 1980 (1); STA 28; 9º52'16"" N, 84º45'30"" W, 26 m, mud, Aug. 1981 (1), Apr. 1982 (1); STA 29; 9º54'55"" N, 84º45'15"" W, 18 m, muddy sand, Aug. 1981 (1); STA 30; 9º54'40"" N, 84º45'50"" W, 18 m, muddy sand, Oct. 1980 (2); STA 44; 9º59'17"" N, 84º54'25"" W, 24m, muddy sand, Jul. 1980 (1). Intertidal: Punta Morales, 10º N; 84º58' W, north side; intertidal mud, Sep. 1988 (1), Jul. 1997 (19); intertidal sand Jul. 1997 (9); man-grove roots, Jan. 1996 (1): Punta Morales, south side; mid-intertidal muddy sand Jun. 1983 (1), Jun. 1986 (1); Lagartos Point, fine sand Sep. 1988 (1); soupy mud Jul. 1997 (10); Algal mat, tidal pool, Sep. 1988 (1). Golfo Dulce, Intertidal: Golfito, mid-intertidal mud Sep. 1986 (1).","9º57'30"" N","84º53'00"" W",,,,,1980-1986,,,,known from the Gulf of Mexico on muddy sand and silt-clay sediments at depths of 10-50 meters and from the Gulf of California from fine and silty sands at 28-79 m. This species was collected intertidally in Costa Rica,,"southward range extension not northward!!!, also another species was observed for the first time near here but it was only the seccond time the species had been recorded so hard to say anything about its range"
54,EJW,Exclude,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
55,EJW,Exclude,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
56,EJW,Exclude,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
57,EJW,Exclude,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
58,EJW,Exclude,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
59,JKS,Exclude,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
60,EJW,Exclude,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
61,JKS,Exclude,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
62,JKS,Exclude,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
63,JKS,Exclude,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
64,JKS,Exclude,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
65,JKS,Exclude,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
66,BGL,Exclude,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
67,BGL,Exclude,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
68,BGL,Exclude,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
69,BGL,Exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,JKS,Include,,,,,,,Tetraclita rubescens,,volcano barnacle,species,,"Pelagic larval duration is ∼3–4 weeks (ES, unpublished data). Metamorphosed barnacles reach sexual maturity at 2 years and may live 10–15 years",June-November,Tomales Point,38°14′N,,38.2333,Paper,,,1948,June,,,"San Francisco Bay in CA, USA (37°30′N)",Newman & Abbott 1980,"latitude is noted abundance peaks, not whole range, see linked graph for that"
70,JKS,Include,,,,,,,Tetraclita rubescens,,volcano barnacle,species,,"Pelagic larval duration is ∼3–4 weeks (ES, unpublished data). Metamorphosed barnacles reach sexual maturity at 2 years and may live 10–15 years",June-November,Shell Beach,38°25′N,,38.4167,Paper,,,1957,,,,"San Francisco Bay in CA, USA (37°30′N)",Newman & Abbott 1980,"latitude is noted abundance peaks, not whole range, see linked graph for that"
70,JKS,Include,,,,,,,Tetraclita rubescens,,volcano barnacle,species,,"Pelagic larval duration is ∼3–4 weeks (ES, unpublished data). Metamorphosed barnacles reach sexual maturity at 2 years and may live 10–15 years",June-November,Shell Beach,38°25′N,,38.4167,Paper,,,1970,,,,"San Francisco Bay in CA, USA (37°30′N)",Newman & Abbott 1980,"latitude is noted abundance peaks, not whole range, see linked graph for that"
70,JKS,Include,,,,,,,Tetraclita rubescens,,volcano barnacle,species,,"Pelagic larval duration is ∼3–4 weeks (ES, unpublished data). Metamorphosed barnacles reach sexual maturity at 2 years and may live 10–15 years",June-November,"Saunder's Reef, CA",38°52′N,,38.8667,Paper,,,1984,,,,"San Francisco Bay in CA, USA (37°30′N)",Newman & Abbott 1980,"latitude is noted abundance peaks, not whole range, see linked graph for that"
70,JKS,Include,,,,,,,Tetraclita rubescens,,volcano barnacle,species,,"Pelagic larval duration is ∼3–4 weeks (ES, unpublished data). Metamorphosed barnacles reach sexual maturity at 2 years and may live 10–15 years",June-November,"Cape Mendocino, CA",40°24′N,,40.4,Paper,,,1995,,,,"San Francisco Bay in CA, USA (37°30′N)",Newman & Abbott 1980,"latitude is noted abundance peaks, not whole range, see linked graph for that"
70,JKS,Include,,,,,,,Tetraclita rubescens,,volcano barnacle,species,,"Pelagic larval duration is ∼3–4 weeks (ES, unpublished data). Metamorphosed barnacles reach sexual maturity at 2 years and may live 10–15 years",June-November,"Cape Mendocino, CA",40°24′N,,40.4,Paper,,,1996,,,,"San Francisco Bay in CA, USA (37°30′N)",Newman & Abbott 1980,"latitude is noted abundance peaks, not whole range, see linked graph for that"
