"","Year","Month","Date","dSST3.4","ONI","ONI_month_window","phase"
"195",1966,"Mar",1966-03-01,1.19,0.983333333333333,"FMA","Warm Phase/El Nino"
"196",1966,"Apr",1966-04-01,0.76,0.656666666666667,"MAM","Warm Phase/El Nino"
"197",1966,"May",1966-05-01,0.02,0.356666666666667,"AMJ","Neutral Phase"
"198",1966,"Jun",1966-06-01,0.29,0.243333333333333,"MJJ","Neutral Phase"
"199",1966,"Jul",1966-07-01,0.42,0.243333333333333,"JJA","Neutral Phase"
"200",1966,"Aug",1966-08-01,0.02,0.123333333333333,"JAS","Neutral Phase"
"201",1966,"Sep",1966-09-01,-0.07,-0.0533333333333333,"ASO","Neutral Phase"
"202",1966,"Oct",1966-10-01,-0.11,-0.1,"SON","Neutral Phase"
"203",1966,"Nov",1966-11-01,-0.12,-0.18,"OND","Neutral Phase"
"204",1966,"Dec",1966-12-01,-0.31,-0.303333333333333,"NDJ","Neutral Phase"
"205",1967,"Jan",1967-01-01,-0.48,-0.41,"DJF","Neutral Phase"
"206",1967,"Feb",1967-02-01,-0.44,-0.476666666666667,"JFM","Neutral Phase"
"207",1967,"Mar",1967-03-01,-0.51,-0.536666666666667,"FMA","Cool Phase/La Nina"
"208",1967,"Apr",1967-04-01,-0.66,-0.45,"MAM","Neutral Phase"
"209",1967,"May",1967-05-01,-0.18,-0.24,"AMJ","Neutral Phase"
"210",1967,"Jun",1967-06-01,0.12,-6.93889390390723e-18,"MJJ","Neutral Phase"
"211",1967,"Jul",1967-07-01,0.06,0.05,"JJA","Neutral Phase"
"212",1967,"Aug",1967-08-01,-0.03,-0.153333333333333,"JAS","Neutral Phase"
"213",1967,"Sep",1967-09-01,-0.49,-0.293333333333333,"ASO","Neutral Phase"
"214",1967,"Oct",1967-10-01,-0.36,-0.376666666666667,"SON","Neutral Phase"
"215",1967,"Nov",1967-11-01,-0.28,-0.34,"OND","Neutral Phase"
"216",1967,"Dec",1967-12-01,-0.38,-0.44,"NDJ","Neutral Phase"
"217",1968,"Jan",1968-01-01,-0.66,-0.633333333333333,"DJF","Cool Phase/La Nina"
"218",1968,"Feb",1968-02-01,-0.86,-0.733333333333333,"JFM","Cool Phase/La Nina"
"219",1968,"Mar",1968-03-01,-0.68,-0.613333333333333,"FMA","Cool Phase/La Nina"
