"","latin_name","taxonomic_rank","common_name","latitude","latitude_location","longitude","longitude_location","year","month","day","source","latin_name_original","hist_range_lat"
"106","Pyrosoma","species","",49,"Paper",-123.579344684795,"R generated",2017,"August","","lab_rev","Pyrosoma atlanticum",40
"107","Kelletia kelletii","species","Kellet's whelk",36.6212,"Paper",-121.9017,"Paper",1980,"","","lab_rev","Kelletia kelletii",34.39
"108","Mexacanthina lugubris","species","Dark unicorn whelk",33.5,"Paper",-117.749328266462,"R generated",1937,"","","lab_rev","Mexacanthina lugubris",31.8
"109","Mexacanthina lugubris","species","Dark unicorn whelk",33.5,"Paper",-117.749328266462,"R generated",1955,"","","lab_rev","Mexacanthina lugubris",31.8
"110","Mexacanthina lugubris","species","Dark unicorn whelk",32.663501,"Google Maps",-117.149846084033,"R generated",1974,"","","lab_rev","Mexacanthina lugubris",31.8
"111","Mexacanthina lugubris","species","Dark unicorn whelk",33.543,"Paper",-117.796795218415,"R generated",2013,"","","lab_rev","Mexacanthina lugubris",31.8
"112","Mexacanthina lugubris","species","Dark unicorn whelk",34.044,"Paper",-120.430191700117,"R generated",2017,"","","lab_rev","Mexacanthina lugubris",31.8
"113","Nyctiphanes simplex","species","euphausiid",46,"Paper",-123.92667729486,"R generated",1983,"","","lab_rev","Nyctiphanes simplex",32.5
"114","Nyctiphanes simplex","species","euphausiid",48,"Paper",-122.20909968173,"R generated",1998,"","","lab_rev","Nyctiphanes simplex",32.5
"115","Euphausia recurva","species","euphausiid",44.6667,"Paper",-124.65,"https://globec.whoi.edu/nep/reports/ccs_cruises/jul01cr.pdf",1998,"","","lab_rev","Euphausia recurva",34.5
"116","Euphausia mutica","species","euphausiid",44.6667,"Paper",-124.65,"https://globec.whoi.edu/nep/reports/ccs_cruises/jul01cr.pdf",1998,"","","lab_rev","Euphausia mutica",34.5
"117","Sagitta pseudoserratodentata","species","chaetognath",44.6667,"Paper",-124.41,"https://globec.whoi.edu/nep/reports/ccs_cruises/jul01cr.pdf",1998,"","","lab_rev","Sagitta pseudoserratodentata",42
